Epoch 60:   train/loss: 0.6137   valid/loss: 0.8425   train/acc: 0.6529   valid/acc: 0.6346
Epoch 61:   train/loss: 0.6596   valid/loss: 0.8373   train/acc: 0.6942   valid/acc: 0.6731
Epoch 62:   train/loss: 0.5390   valid/loss: 0.8234   train/acc: 0.6591   valid/acc: 0.6538
Epoch 63:   train/loss: 0.4773   valid/loss: 0.8254   train/acc: 0.6632   valid/acc: 0.6538
Epoch 64:   train/loss: 0.6383   valid/loss: 0.8308   train/acc: 0.6529   valid/acc: 0.6346
Epoch 65:   train/loss: 1.1731   valid/loss: 0.8205   train/acc: 0.6570   valid/acc: 0.5962
Epoch 66:   train/loss: 0.2863   valid/loss: 0.8026   train/acc: 0.6756   valid/acc: 0.5577
Epoch 67:   train/loss: 0.7572   valid/loss: 0.8282   train/acc: 0.6529   valid/acc: 0.6154
Epoch 68:   train/loss: 0.1368   valid/loss: 0.8234   train/acc: 0.6550   valid/acc: 0.5769
Epoch 69:   train/loss: 0.2347   valid/loss: 0.8371   train/acc: 0.6860   valid/acc: 0.5385
Epoch 70:   train/loss: 0.2843   valid/loss: 0.8217   train/acc: 0.6818   valid/acc: 0.5577
Epoch 71:   train/loss: 1.1524   valid/loss: 0.8222   train/acc: 0.6756   valid/acc: 0.5577
Epoch 72:   train/loss: 1.5474   valid/loss: 0.8343   train/acc: 0.6715   valid/acc: 0.5769
Epoch 73:   train/loss: 1.2664   valid/loss: 0.8664   train/acc: 0.6798   valid/acc: 0.5962
Epoch 74:   train/loss: 0.5952   valid/loss: 0.8566   train/acc: 0.6591   valid/acc: 0.6154
Epoch 75:   train/loss: 1.2050   valid/loss: 0.7618   train/acc: 0.6777   valid/acc: 0.5962
Epoch 76:   train/loss: 0.4213   valid/loss: 0.7848   train/acc: 0.6921   valid/acc: 0.5769
Epoch 77:   train/loss: 1.2638   valid/loss: 0.7783   train/acc: 0.6674   valid/acc: 0.5769
Epoch 78:   train/loss: 0.7647   valid/loss: 0.7975   train/acc: 0.6612   valid/acc: 0.5962
Epoch 79:   train/loss: 0.2224   valid/loss: 0.8068   train/acc: 0.7231   valid/acc: 0.5769
Epoch 80:   train/loss: 0.5792   valid/loss: 0.7866   train/acc: 0.6364   valid/acc: 0.5962
Epoch 81:   train/loss: 0.6233   valid/loss: 0.7686   train/acc: 0.6715   valid/acc: 0.6154
Epoch 82:   train/loss: 0.3673   valid/loss: 0.7914   train/acc: 0.7066   valid/acc: 0.6154
Epoch 83:   train/loss: 0.1835   valid/loss: 0.8044   train/acc: 0.6818   valid/acc: 0.6346
Epoch 84:   train/loss: 1.5100   valid/loss: 0.8165   train/acc: 0.6818   valid/acc: 0.6538
Epoch 85:   train/loss: 0.8148   valid/loss: 0.7798   train/acc: 0.6736   valid/acc: 0.6154
Epoch 86:   train/loss: 0.8506   valid/loss: 0.7887   train/acc: 0.6736   valid/acc: 0.6346
Epoch 87:   train/loss: 0.3978   valid/loss: 0.7646   train/acc: 0.7252   valid/acc: 0.6346
Epoch 88:   train/loss: 1.0937   valid/loss: 0.8106   train/acc: 0.6736   valid/acc: 0.5769
Epoch 89:   train/loss: 1.9047   valid/loss: 0.8423   train/acc: 0.6901   valid/acc: 0.5962
Epoch 90:   train/loss: 0.2367   valid/loss: 0.8546   train/acc: 0.7252   valid/acc: 0.6154
Epoch 91:   train/loss: 2.0465   valid/loss: 0.8936   train/acc: 0.6818   valid/acc: 0.5769
Epoch 92:   train/loss: 0.1923   valid/loss: 0.8905   train/acc: 0.6942   valid/acc: 0.5962
Epoch 93:   train/loss: 0.4467   valid/loss: 0.9045   train/acc: 0.7211   valid/acc: 0.5769
Epoch 94:   train/loss: 0.5337   valid/loss: 0.8776   train/acc: 0.7190   valid/acc: 0.5962
Epoch 95:   train/loss: 1.1157   valid/loss: 0.8742   train/acc: 0.6570   valid/acc: 0.5962
