epoch,loss_1,loss_2,loss_3,loss_4,loss_5
1,0.5359,1.9657,1.9657,1.9657,1.9657
2,1.2884,1.5926,1.5927,1.5928,1.5927
3,1.0676,0.7722,0.7722,0.7722,0.7722
4,0.5791,0.4889,0.4887,0.4887,0.4888
5,0.7944,0.7044,0.7035,0.7032,0.7038
6,1.3320,0.3404,0.3392,0.3388,0.3396
7,0.7957,2.2684,2.2578,2.2539,2.2617
8,1.2443,1.1335,1.1980,1.2317,1.1750
9,0.3863,0.6844,0.6760,0.6706,0.6787
10,0.4378,1.1884,1.2657,1.3648,1.2197
11,0.7729,0.9770,1.0759,1.0366,1.0455
12,0.1397,0.1656,0.1719,0.1884,0.1649
13,1.1903,1.1980,1.3509,1.4857,1.3073
14,0.5084,1.1109,1.2392,1.2360,1.1936
15,0.2998,0.6734,0.5595,0.6253,0.5947
16,0.9869,0.4124,0.4610,0.4753,0.4119
17,1.2017,0.8134,0.7631,0.8023,0.8338
18,0.8609,0.5496,0.6548,0.7981,0.6949
19,0.6860,0.4767,1.2677,0.4232,1.0220
20,0.1725,0.5040,0.4374,0.6232,0.6945
21,0.9975,1.2071,1.2023,1.1315,1.3125
22,2.4386,0.4222,0.4344,0.6406,0.4141
23,1.8190,1.2486,1.6330,1.6297,1.7719
24,0.9058,0.3915,0.2989,0.2436,0.2896
25,0.4828,0.5016,0.2086,0.3907,0.2173
26,0.1128,0.7651,0.8204,0.7936,0.8958
27,0.2687,1.8150,0.7224,0.5743,0.5250
28,0.3618,0.9335,0.9414,0.8507,0.6979
29,1.5171,1.1480,1.5956,1.1047,1.0126
30,0.3387,0.6158,0.8997,0.8513,0.8647
31,0.1692,1.0919,0.8959,0.2937,0.6082
32,0.4671,1.7558,1.5459,1.5688,1.3010
33,0.2434,0.7594,0.6411,0.7271,0.7400
34,1.1531,0.5036,0.3764,0.4509,0.4063
35,2.0769,0.9318,1.3294,1.7934,2.0696
36,0.4281,1.2655,0.8649,1.0560,0.9188
37,1.6057,0.9409,0.6002,0.9092,1.0372
38,0.1592,0.6327,0.3827,0.1851,0.2142
39,0.4338,0.8125,0.5738,1.0394,0.7857
40,0.7804,0.9561,0.8807,1.1977,1.0309
41,0.5965,1.4394,0.9865,0.6994,1.3773
42,0.6839,0.9395,1.2040,1.0216,1.7726
43,0.5336,0.6945,0.6005,0.5918,0.5091
44,0.3404,0.3283,0.3981,0.3131,0.3863
45,0.5928,0.6469,0.4727,1.0263,0.5133
46,0.9940,1.4758,1.0650,1.0102,1.4081
47,1.4250,1.3936,0.5640,0.7419,0.7187
48,1.3302,1.5933,1.8932,0.4575,1.5404
49,0.5081,0.8337,0.4171,0.5027,0.6938
50,0.2395,0.2542,0.1832,0.1595,0.4917
51,0.7167,0.3954,0.6829,0.6334,0.3992
52,0.1509,0.3717,0.5945,0.0528,0.4473
53,0.7469,0.4716,0.7628,0.7853,1.0069
54,0.1048,0.3002,0.5793,0.6401,0.5837
55,1.6274,0.9751,0.5989,0.7397,1.1524
56,0.8088,0.6525,1.1293,1.3451,0.5336
57,0.6930,0.5313,0.5973,0.5822,0.5321
58,0.2758,0.3637,0.5455,0.6598,1.2297
59,0.3786,1.0855,0.7668,1.3849,1.0326
60,1.4707,1.0239,1.4854,0.9587,0.7750
61,0.2914,1.1011,0.6762,0.9341,0.4155
62,0.4466,0.3152,0.6817,0.7326,0.5218
63,0.5048,0.3327,1.4038,0.7256,0.5048
64,1.3824,0.5076,0.4437,0.6327,0.4891
65,0.3877,0.4560,0.8212,0.6369,0.7779
66,0.7686,0.7293,0.6253,0.6557,0.8160
67,0.3210,0.3112,0.5978,0.4085,0.2476
68,0.8655,0.2120,0.2123,0.2591,0.6775
69,0.3094,0.8806,0.2395,0.4154,0.6425
70,0.7855,0.6128,0.4721,0.6997,0.4145
71,0.5504,0.6611,0.6467,1.1031,0.5230
72,1.1195,0.6733,0.5422,0.5033,0.5657
73,0.8344,0.5252,1.5740,0.6294,1.1050
74,0.1557,0.5269,0.9336,0.2527,0.3069
75,1.1447,0.7065,0.5246,0.5255,0.6337
76,0.6221,0.5685,0.5389,0.3399,0.3619
77,0.4405,0.2652,0.5011,1.0303,0.3987
78,0.1716,0.5359,0.4248,0.2217,0.2726
79,1.0097,0.4226,0.5188,0.7419,0.8273
80,0.2040,0.6680,0.8173,0.5860,0.4736
81,1.5510,1.3063,1.4019,1.5148,0.4302
82,0.3268,0.1733,0.2140,0.1689,0.1338
83,0.8163,0.5501,0.6129,0.6052,1.3028
84,0.8774,0.9158,1.3591,0.7415,1.0468
85,0.8034,0.7450,0.9571,0.5455,1.4514
86,0.2076,0.7047,0.4118,0.8265,0.4508
87,1.1804,0.5713,0.5608,0.6653,0.7542
88,0.4156,0.3757,0.2483,0.2603,0.4709
89,0.7771,0.4475,0.4963,0.7142,0.3655
90,0.5423,0.4328,0.6104,0.7290,0.7091
91,0.6526,0.4447,0.6978,0.5776,0.6386
92,0.8722,0.3381,0.8474,1.0972,0.7682
93,0.8868,0.0917,0.5999,0.4338,0.2528
94,0.9641,0.6502,1.1109,0.5569,0.2769
95,0.3968,1.6622,0.8832,0.9879,0.8377
96,1.5307,0.3017,0.9206,0.6570,0.7759
97,0.5463,0.4482,0.5464,0.5576,0.2755
98,0.9723,0.8868,0.8385,0.9472,0.7528
99,0.6854,0.4426,0.4325,0.5283,0.2017
100,0.6130,1.1301,1.3861,1.1034,1.3273
101,0.7126,1.2773,1.2283,0.9825,1.5548
102,1.0347,0.3161,0.3135,0.3279,0.2635
103,0.7742,1.0330,0.6117,0.7510,0.6294
104,0.8289,1.5396,0.3803,0.2273,0.3426
105,0.1216,0.7123,1.1002,0.1050,0.2883
106,0.9084,0.6071,0.8080,0.6017,0.5826
107,0.4734,0.5841,0.3899,0.7259,0.5100
108,0.2290,0.8839,0.4092,0.5054,0.8640
109,0.3131,0.8150,1.1906,0.4047,0.7348
110,0.6204,0.2055,0.8108,0.9611,0.5721
111,0.2503,0.6573,1.0442,0.4375,0.4395
112,0.6203,0.6472,0.3916,0.3130,0.5153
113,1.6463,1.3920,0.6622,0.8446,1.2022
114,0.5802,0.4466,0.6482,0.6274,0.3913
115,1.0252,1.0460,1.2392,0.8507,0.7445
116,0.2314,0.9462,0.7938,0.6488,1.1855
117,0.9342,0.4011,0.6911,0.7584,0.4981
118,0.2916,0.6754,0.5201,1.1549,0.4869
119,1.3388,0.7185,0.5168,0.4938,0.4934
120,0.9522,1.0411,0.5001,0.4130,0.8784
121,0.7477,0.2006,0.3693,0.2628,0.7597
122,0.4440,0.3956,0.4856,0.4663,0.4214
123,0.3781,0.3774,0.0746,0.3143,0.4962
124,1.1175,0.7096,0.7184,1.4769,0.9045
125,0.4524,1.2131,0.5394,0.4695,0.9034
126,0.1382,0.4577,0.8306,0.8255,0.4579
127,0.6596,0.4503,0.5037,0.3509,0.3701
128,0.6952,0.5608,0.6675,1.3012,0.8038
129,1.0437,0.5255,0.1810,0.1415,0.2835
130,0.2699,1.0194,0.4745,0.6267,0.5526
131,0.0800,1.0777,0.2511,1.1283,0.3358
132,2.0052,0.3040,0.4153,0.4006,0.6324
133,0.1977,1.1660,0.7083,0.3765,0.7300
134,0.5286,0.7679,0.1858,0.2441,0.5893
135,0.9454,0.5372,0.1217,0.1058,0.3265
136,0.7039,0.4319,0.3810,0.4668,0.2912
137,0.1508,0.4264,0.1385,0.4453,0.4927
138,0.1340,0.6725,0.2157,0.1561,0.5166
139,0.7711,0.6415,1.0732,1.2934,1.9646
140,0.5976,0.2464,1.1514,0.1785,0.2388
141,0.7339,0.9175,0.6515,0.3218,0.7585
142,0.2219,0.8209,0.4490,0.3958,0.3495
143,0.7624,0.3627,0.2737,0.5440,0.2311
144,0.2472,0.5390,0.5761,0.4499,0.2821
145,0.7814,0.7440,0.7001,0.9125,0.5570
146,0.8932,0.1105,0.3292,0.3575,0.0931
147,0.1611,0.3803,0.5975,0.4289,0.4448
148,0.4280,0.5793,1.1734,0.6871,0.8981
149,0.3174,0.6428,0.6011,1.0737,1.6072
150,0.2524,0.8075,0.9104,0.7413,0.7284
151,0.5890,0.9084,0.5547,0.4066,1.1457
152,1.4579,1.4106,0.4090,0.3509,0.6181
153,0.5624,0.3733,1.1366,0.5033,0.3289
154,0.3351,0.3756,0.2046,0.1957,0.5679
155,0.7793,0.8770,0.5665,0.6298,0.3645
156,0.7727,0.4492,0.1857,0.2508,0.5479
157,0.3353,0.1714,0.7488,1.1367,0.2299
158,0.6471,0.4873,1.1587,0.5142,0.4351
159,0.1684,0.5292,0.3153,0.7091,0.5917
160,1.3403,1.2264,0.8564,0.6604,0.7612
161,1.3085,0.2721,0.1858,0.6902,0.3016
162,1.1782,1.0885,0.3029,0.2179,0.2700
163,0.5493,0.9230,0.3544,0.2262,0.6106
164,1.1372,0.8182,0.2393,0.4865,0.2389
165,0.9003,1.7005,0.3357,0.6452,1.0815
166,1.4260,0.2575,0.3115,0.2536,0.4979
167,0.8274,0.3452,0.3153,0.4549,0.3353
168,0.4245,0.2090,0.2404,0.2401,0.1596
169,0.2769,1.1747,1.3718,0.4648,0.4846
170,0.1616,1.3328,0.7352,0.5292,0.3208
171,0.4511,0.3950,0.4525,0.1333,0.5382
172,1.0093,0.6268,0.7222,0.5758,0.4423
173,0.1001,0.7110,0.3654,0.6123,0.8957
174,0.2516,0.3154,0.3547,0.4775,0.1133
175,0.4654,0.6510,0.6021,0.7599,1.5794
176,0.1691,0.7217,0.6587,0.1592,0.9723
177,2.1501,0.7749,0.6347,0.6231,0.8576
178,0.1640,0.2303,0.2257,0.2746,1.2130
179,0.4086,0.5018,0.4967,0.1223,0.2375
180,0.4242,0.4720,0.3531,0.3787,0.2678
181,0.1998,0.4662,1.2913,0.9187,0.8996
182,0.2549,0.4179,0.7571,0.3975,0.2962
183,0.5152,0.9124,0.3873,0.3817,0.9201
184,0.4450,0.4177,1.1844,0.4229,0.7657
185,0.6858,0.3570,0.4902,0.3064,0.6429
186,0.8501,0.3329,0.7047,0.8154,0.4851
187,0.7984,0.9945,0.6181,0.6388,1.5122
188,0.8643,0.2699,0.5082,0.3666,1.0154
189,0.1446,0.4640,0.3393,0.4029,0.2997
190,0.9348,0.2726,0.7513,0.3461,0.3328
191,0.7360,0.6053,0.9511,1.2546,0.9388
192,1.3875,1.1428,0.7692,0.7893,0.6535
193,0.0943,0.6622,1.1029,0.2792,0.7052
194,1.3427,0.6362,1.0832,0.9501,1.5666
195,0.4609,0.3727,0.3528,0.2665,0.3660
196,0.5502,0.5291,1.3331,0.3496,0.5703
197,0.8000,0.7406,0.2248,0.1450,0.3582
198,0.7200,0.2808,0.6068,0.4760,0.4093
199,0.4532,0.6571,0.7523,0.2037,0.6366
200,0.3495,0.7964,0.8060,1.5642,0.4426
