epoch,loss_1,loss_2,loss_3,loss_4,loss_5
1,0.9479,3.3529,3.3536,3.3546,3.3506
2,2.4353,1.3592,1.3389,1.3146,1.4228
3,1.2573,0.2261,0.1982,0.1782,0.3185
4,0.8249,1.3293,1.2504,1.3166,1.3389
5,1.3488,1.0803,0.7640,0.9220,0.6649
6,0.1998,0.9083,1.8399,1.2501,1.4722
7,0.2955,0.6638,0.6461,0.5154,0.4802
8,0.3496,0.2974,0.4454,0.7575,0.7408
9,0.5328,0.4678,1.0826,2.3484,0.5522
10,0.8950,0.7142,0.6449,0.4106,0.5388
11,1.9544,0.2093,0.0967,0.5962,1.2743
12,0.1124,0.2720,0.3659,0.4855,0.1001
13,0.7931,1.3748,1.5880,1.1725,1.7195
14,0.1622,0.8903,0.4662,0.2494,0.1538
15,0.8743,0.8768,0.2373,0.4214,0.7475
16,0.3788,0.6216,0.9644,0.0583,1.1581
17,1.8485,2.0810,1.3716,1.4984,1.5635
18,1.3101,1.1349,1.2327,0.9078,1.1221
19,0.3222,0.3968,1.0405,0.2169,2.2533
20,1.1324,0.3986,0.8620,0.4097,0.6680
21,0.1215,0.1127,0.2669,0.0975,0.6628
22,0.3194,0.2260,0.5791,0.7990,0.4626
23,0.5045,1.1840,1.0785,1.7765,0.7335
24,0.4821,0.1327,0.4493,0.2013,0.6185
25,0.1270,1.3658,1.4147,1.2948,0.7287
26,0.6095,0.1913,0.3006,0.7289,1.2093
27,0.6630,0.6116,0.6975,0.2135,0.4853
28,1.2001,0.3807,1.6262,1.0577,0.3858
29,0.6739,0.8118,0.7807,0.7566,0.3106
30,1.1321,0.8774,0.2050,0.0922,0.7639
31,0.1306,0.4830,0.2020,0.3541,0.4814
32,0.7746,0.6165,0.8699,0.8404,0.4168
33,0.2489,0.4882,0.4851,1.2682,1.9336
34,0.0678,0.7215,0.8911,0.3170,1.0843
35,1.5656,0.3616,0.5657,0.3607,0.3498
36,0.9900,1.7164,0.2949,1.4627,0.5933
37,0.0841,1.1857,0.9296,1.4132,1.2681
38,1.0270,0.9532,0.5977,0.3924,1.0895
