epoch,loss_1,loss_2,loss_3,loss_4,loss_5
1,0.7357,0.9330,0.9330,0.9330,0.9329
2,0.8033,0.9555,0.9525,0.9532,0.9694
3,1.3675,1.5448,1.5401,1.5417,1.5510
4,2.6714,1.0904,1.0794,1.0782,1.1868
5,0.6731,0.8486,0.9626,0.9498,1.0952
6,1.2981,2.0626,1.8949,1.9654,1.3270
7,0.4599,0.3196,0.3245,0.2538,0.3107
8,1.3097,0.6320,0.6465,0.5994,0.8098
9,1.2615,1.2704,0.9469,1.2709,1.0054
10,0.4319,1.3228,0.6324,0.7363,0.4536
11,0.5660,0.5226,0.1374,0.2873,0.4725
12,0.7922,0.6928,0.2824,0.2895,0.4288
13,1.2290,0.6149,1.1319,1.1761,0.6224
14,0.8221,0.3506,0.3161,0.4515,0.3356
15,0.0870,0.5798,0.6267,0.9700,0.6270
16,0.5190,0.5783,0.3345,0.5527,0.2679
17,1.4134,0.4044,0.3158,0.2644,0.2440
18,0.6530,0.7196,0.1323,0.2942,0.1043
19,1.2196,0.7943,1.6815,1.7567,0.9168
20,0.6636,1.3873,1.0460,1.5572,0.3194
21,0.3566,0.4707,0.2330,0.6317,0.4047
22,0.6489,1.0093,0.7471,0.9665,0.3657
23,0.5355,1.2896,1.1506,0.7223,0.8574
24,0.2255,0.6842,0.1182,0.5714,0.3622
25,1.9535,0.5923,0.1832,0.8377,0.6544
26,0.4844,0.8283,0.3240,2.0447,1.1946
27,0.7424,0.5166,0.1892,0.4855,0.1189
28,0.1497,0.2658,1.3979,0.9747,0.9999
29,1.0560,0.7148,0.8776,0.6726,0.5460
30,0.7186,1.4125,1.0558,0.6391,2.6393
31,0.8003,0.9612,1.6920,0.8873,2.1228
32,0.4937,1.5811,0.3803,1.6330,1.2238
33,1.3913,0.6626,0.6275,1.1226,1.3849
34,0.5647,1.0220,0.5825,0.9223,0.7722
35,1.1748,0.8649,0.2115,1.0311,1.5598
36,0.3172,0.8660,1.0448,0.4318,1.1092
37,0.9170,0.4507,0.5817,0.5900,0.2064
38,0.1249,1.7392,0.4628,0.3051,1.0603
39,0.2584,1.2659,0.5755,0.4165,0.9666
40,2.6853,0.6526,3.3408,0.8373,0.9814
41,0.2999,0.3168,0.9594,0.8914,0.3806
42,0.3294,0.3548,0.6619,1.2851,0.1260
43,0.1559,1.2757,0.7706,0.8835,0.6882
44,0.2399,0.2532,0.2557,0.8430,1.9921
45,0.6958,0.5548,0.1145,0.8982,2.3912
46,0.2286,0.2299,0.8249,0.8829,0.8146
47,0.5838,0.8106,1.8303,0.8439,1.7363
48,0.9641,0.8598,0.8051,0.7763,0.6586
49,0.6315,2.4447,1.1276,2.0329,1.2377
50,1.0209,1.1731,1.1770,1.1393,0.1227
51,0.7816,1.3149,0.6282,0.3783,0.5491
52,0.3580,0.4189,0.3164,0.8050,0.2957
53,0.6555,0.5706,1.2954,0.8473,1.5447
54,0.6070,0.6945,0.9814,0.6991,0.4570
55,1.0129,1.0633,0.2361,0.4922,1.1662
56,0.6768,1.0220,0.9835,1.2625,1.1164
57,0.3400,0.2425,1.2898,0.2586,1.7471
58,0.7423,0.5406,0.5822,0.3969,0.9759
59,0.3597,0.2191,1.1023,0.5677,0.1504
60,0.6137,0.2792,0.9084,0.3044,0.5530
61,0.6596,0.2062,0.8534,1.6511,0.6414
62,0.5390,0.5729,0.2871,0.4106,0.7629
63,0.4773,0.3426,0.3484,0.4384,1.4217
64,0.6383,1.4120,0.8844,1.8545,1.2848
65,1.1731,1.4950,0.6571,1.6772,1.4681
66,0.2863,0.2058,0.5064,0.8777,0.4799
67,0.7572,0.1260,0.4604,0.4683,0.8290
68,0.1368,0.7223,0.7411,0.2793,0.6520
69,0.2347,1.0069,0.3272,0.9378,0.7365
70,0.2843,0.6567,0.6377,0.5549,0.4116
71,1.1524,0.3479,0.4327,0.4195,0.3559
72,1.5474,1.9292,0.5127,0.9359,1.0685
73,1.2664,0.6782,1.4605,2.1338,1.1663
74,0.5952,1.3475,0.6418,0.4296,0.2815
75,1.2050,0.6694,1.2093,1.5864,0.9756
76,0.4213,1.0971,1.2398,1.7465,0.8470
77,1.2638,0.8272,1.1253,0.4914,1.5450
78,0.7647,0.4760,0.2423,1.2896,0.4818
79,0.2224,0.8823,0.2427,0.3447,0.2148
80,0.5792,0.3052,0.5869,0.3694,0.6266
81,0.6233,0.8626,1.0884,0.9489,0.4077
82,0.3673,1.2100,1.9856,1.4371,1.2480
83,0.1835,0.8229,0.9961,0.3779,0.4093
84,1.5100,0.3828,1.4009,0.9870,0.7239
85,0.8148,0.3316,0.1560,0.1203,0.3720
86,0.8506,1.0196,2.0149,0.3891,0.8250
87,0.3978,0.5729,0.5589,0.2311,0.5258
88,1.0937,0.6545,1.0911,0.8636,1.8473
89,1.9047,0.5551,0.2673,0.5332,0.9079
90,0.2367,0.4420,0.6305,0.3234,0.5751
91,2.0465,0.3553,0.3101,0.1828,0.8046
92,0.1923,1.6153,1.4033,0.6879,1.0188
93,0.4467,0.1947,0.6360,0.3889,0.2740
94,0.5337,1.5443,0.7233,0.7710,1.0592
95,1.1157,1.1316,0.3447,1.3061,0.5909
96,0.1306,0.8183,0.8622,0.4106,1.4069
97,0.4104,0.5146,1.1187,0.3411,0.2433
98,0.2801,0.7986,0.4510,0.5655,0.4851
99,1.1555,0.2432,0.0936,0.1428,0.2097
100,0.2369,0.4581,0.2364,0.5743,0.6208
101,0.9091,1.0944,0.5466,0.6958,1.5668
102,0.8895,0.7218,0.6318,0.7674,0.6091
103,1.3430,2.1600,1.2969,0.8222,0.3732
104,1.2092,0.8308,0.3407,1.9331,0.8613
105,0.3076,0.2336,0.2390,0.3426,1.2419
106,0.6877,1.4238,0.3175,1.1528,0.6617
107,0.2095,0.5700,0.8962,0.4115,0.2217
108,1.1430,0.2441,0.6446,0.5884,0.7347
109,1.9869,0.2971,0.4504,0.1964,0.2149
110,0.6047,1.7098,1.1039,0.8293,1.2649
111,0.6739,1.5415,0.5501,0.4255,0.3919
112,1.1985,0.4666,0.5016,0.4089,0.2441
113,1.7079,0.7907,0.5663,0.7370,1.5101
114,0.6636,0.7499,0.9353,0.5498,0.9573
115,0.7839,0.2387,1.0391,1.7289,0.4584
116,0.1233,0.6988,0.7380,1.6827,1.3686
117,0.3036,0.5873,0.9313,1.3900,0.5440
118,0.0707,0.3156,1.5280,0.5154,0.4265
119,1.1745,0.5604,1.3576,0.7083,0.4972
120,0.4382,0.5195,0.7632,0.4041,0.8862
121,0.5845,0.5176,0.3118,0.8109,0.7460
122,0.8342,0.4072,1.7403,1.4402,0.6022
123,0.3470,0.9171,0.6960,0.5485,1.2137
124,0.0927,0.6561,1.2230,0.3808,0.9744
125,0.4245,0.0948,0.4079,0.3565,0.6728
126,0.5105,0.8010,0.2772,0.3857,0.8186
127,0.1872,0.6306,0.2199,1.3786,1.1966
128,0.1302,0.1636,0.6683,0.5616,0.4681
129,0.7826,0.4247,0.9918,0.5275,0.3446
130,0.1508,0.2712,1.9970,1.5132,0.8908
131,0.1575,1.1275,1.1693,0.5948,1.9129
132,1.5633,1.9373,0.4019,0.5063,0.9577
133,0.1745,0.3372,0.8935,1.2432,0.5120
134,0.9682,1.6512,0.5592,1.4002,1.0846
135,0.3026,0.8721,0.3180,1.0200,0.4847
136,1.5449,1.2757,0.9376,1.9292,0.7669
137,0.3619,0.7350,1.0098,0.7316,0.9156
138,0.2048,0.5486,0.2039,0.1340,0.3805
139,0.4906,0.7966,0.9969,0.3074,0.8833
140,1.3346,0.8520,0.5877,0.3799,0.9488
141,0.1917,1.2135,0.7967,0.3588,0.9072
142,0.4006,0.1379,1.4580,0.1487,0.3317
143,0.3829,0.7685,0.7274,0.4554,0.5316
144,0.6751,0.5377,0.6667,0.4852,0.7450
145,0.1192,0.0795,0.6727,0.8588,1.1558
146,1.5411,0.0820,0.7751,0.1993,1.4342
147,0.7484,0.9586,0.5839,0.9391,0.5157
148,0.0967,0.9887,0.1363,0.3331,0.7267
149,0.2291,1.1378,0.2077,0.6503,1.4180
150,1.5028,0.2535,0.3102,0.5443,1.0996
151,0.2261,0.1479,0.4601,0.5396,1.4476
152,0.7864,1.2985,1.3240,1.8738,1.0696
153,0.7346,1.0631,1.4478,0.1116,1.4102
154,0.5891,0.1958,0.6689,0.8214,0.2629
155,0.8557,0.3131,0.3955,1.2424,0.6425
156,0.2125,0.1360,0.8872,0.3283,0.1964
157,0.6704,0.1771,0.2256,0.2652,0.2944
158,1.0994,1.3357,0.7475,0.6177,0.2677
159,0.1294,0.7371,0.8314,0.6187,0.8911
160,0.7538,0.9031,1.2388,0.6481,1.6834
161,0.4685,0.6603,0.2786,0.4605,0.2153
162,1.1806,1.1726,0.8036,0.6136,0.5604
163,1.0448,0.8485,1.2081,0.3698,0.6110
164,0.9542,0.8111,0.8372,0.5469,0.3682
165,0.3252,0.5859,0.6852,1.2428,0.3725
166,0.4218,0.4426,0.5609,1.0675,0.0888
167,1.2209,1.0845,0.5879,0.9408,1.3832
168,0.4906,0.1991,1.1253,0.2045,0.6741
169,1.9291,1.0787,2.1493,1.9334,0.5571
170,0.6033,0.8584,0.4482,0.6313,0.4873
171,0.1287,0.2572,0.7411,0.2628,1.0366
172,0.5598,1.7152,0.6228,0.5774,1.6441
173,0.0831,0.9581,0.9256,0.5321,1.4113
174,1.2006,0.3254,0.3653,0.1647,0.2307
175,0.1144,0.2338,0.3555,0.1001,0.6692
176,0.1645,0.1964,0.3626,0.3592,0.6721
177,1.5369,1.2528,0.9045,0.6267,0.8681
178,0.1992,0.1112,0.4005,1.1751,0.2646
179,0.5959,1.0313,0.1351,0.4484,0.4687
180,0.2372,1.0275,0.9116,0.8209,0.8469
181,0.2308,0.3492,1.2239,0.3083,0.3893
182,0.1954,0.1956,0.7334,0.2081,0.7012
183,0.7349,0.7513,0.5497,0.5131,0.5104
184,0.4858,0.4076,0.3995,0.8340,0.5737
185,0.2169,0.1857,0.5323,0.3022,1.0092
186,0.6610,0.4941,1.1243,0.7541,0.9731
187,0.6487,0.3115,0.2246,1.3651,0.2179
188,0.1772,1.4589,1.0623,0.5120,0.7886
189,0.1719,0.2542,0.0637,0.2818,1.0178
190,0.3787,0.4743,0.3645,0.1804,1.1213
191,0.6634,0.8558,1.4916,1.1770,1.3137
192,0.6173,0.3719,0.5408,0.6159,0.1703
193,0.3705,0.6705,1.0100,0.6888,1.0424
194,1.1514,1.3184,0.4619,1.0015,1.1458
195,0.9375,0.8279,0.2099,0.6741,1.2757
196,0.4237,1.5558,0.2138,1.0762,1.1497
197,0.4897,0.3630,0.2744,1.3494,0.6838
198,0.5886,0.2372,0.5475,0.7413,0.2735
199,0.6286,1.7398,0.2795,0.4910,1.1974
200,0.7843,0.8741,0.7998,1.0297,0.5513
