epoch,loss_1,loss_2,loss_3,loss_4,loss_5
1,0.3013,1.4593,1.4592,1.4598,1.4592
2,1.5799,1.1589,1.1560,1.1679,1.1558
3,1.4751,1.1541,1.1743,1.0972,1.1754
4,2.0294,1.0089,1.0520,1.0152,1.0560
5,0.7550,1.2179,1.1895,1.2198,1.1825
6,1.6124,2.3996,2.4271,2.4393,2.4210
7,0.9451,1.9690,2.1631,1.0918,2.2170
8,0.8176,1.1905,0.9051,1.2694,0.8861
9,0.6870,1.2630,1.3671,0.1859,1.4311
10,0.5026,1.0727,2.6435,1.2699,1.0941
11,0.9685,0.9282,1.4851,0.7246,1.1821
12,1.0711,0.8090,1.4411,0.8545,0.8145
13,0.5314,1.3993,0.8073,1.3200,1.0563
14,2.9418,1.3241,0.2995,0.4626,1.1440
15,0.8045,0.4478,0.4498,0.3029,0.4689
16,0.3131,0.3743,0.3685,0.8618,1.1181
17,0.7497,0.6649,0.1878,1.4457,0.3094
18,1.4678,0.6487,0.2113,1.7674,1.0556
19,0.4879,1.4782,1.3104,1.2111,2.1362
20,0.9519,1.3378,0.7278,0.5050,2.1567
21,0.9944,0.9622,0.5380,0.6550,0.5115
22,1.3251,0.8503,0.2982,0.3751,0.5588
23,0.4717,1.4738,0.4447,0.4738,0.4617
24,0.6131,0.5603,0.5808,0.4612,0.4629
25,0.6794,0.4900,0.7496,0.1736,0.3470
26,1.2384,0.4797,0.6507,1.0650,0.8473
27,0.8605,0.6404,0.4453,0.9310,0.7766
28,0.6301,0.6735,0.4952,1.1691,0.7375
29,1.5536,0.8892,0.9601,0.5051,0.7973
30,0.7920,1.1193,0.5329,0.9011,0.4127
31,0.6467,2.0337,1.5075,0.7757,1.0864
32,0.6279,0.8691,1.1096,0.7067,0.4810
33,0.3150,2.0996,2.3577,1.6912,1.4447
34,1.1143,0.7861,0.9307,0.2862,0.6655
35,0.1051,0.5282,1.3895,1.0544,0.3863
36,1.1034,0.2637,0.6061,0.9629,0.2761
37,0.8237,1.2401,0.7412,0.5609,0.9950
38,0.1686,1.0404,1.0117,0.5520,0.9014
39,0.5121,0.9290,0.6445,1.0522,0.2296
40,1.9969,1.0353,0.8141,0.5436,0.2959
41,0.7807,0.2751,1.6182,0.9769,1.3834
42,0.6183,1.8902,1.3037,0.7113,0.4857
43,1.1179,0.3837,0.1603,0.2957,0.4476
44,1.4145,1.1491,0.1967,1.3588,1.3184
45,0.9415,0.4083,0.5454,0.6212,0.4530
46,0.9208,1.1360,0.5714,1.6618,1.0984
47,0.8646,1.9733,1.8947,1.0195,0.5364
