Epoch 60:   train/loss: 1.4707   valid/loss: 0.7417   train/acc: 0.6529   valid/acc: 0.6538
Epoch 61:   train/loss: 0.2914   valid/loss: 0.7521   train/acc: 0.6198   valid/acc: 0.6538
Epoch 62:   train/loss: 0.4466   valid/loss: 0.7170   train/acc: 0.6157   valid/acc: 0.6538
Epoch 63:   train/loss: 0.5048   valid/loss: 0.7454   train/acc: 0.6529   valid/acc: 0.6538
Epoch 64:   train/loss: 1.3824   valid/loss: 0.7543   train/acc: 0.5744   valid/acc: 0.6346
Epoch 65:   train/loss: 0.3877   valid/loss: 0.7677   train/acc: 0.6074   valid/acc: 0.6538
Epoch 66:   train/loss: 0.7686   valid/loss: 0.7896   train/acc: 0.6157   valid/acc: 0.6538
Epoch 67:   train/loss: 0.3210   valid/loss: 0.7347   train/acc: 0.6054   valid/acc: 0.6346
Epoch 68:   train/loss: 0.8655   valid/loss: 0.7504   train/acc: 0.6322   valid/acc: 0.6731
Epoch 69:   train/loss: 0.3094   valid/loss: 0.7550   train/acc: 0.6529   valid/acc: 0.6731
Epoch 70:   train/loss: 0.7855   valid/loss: 0.7312   train/acc: 0.5992   valid/acc: 0.6538
Epoch 71:   train/loss: 0.5504   valid/loss: 0.7367   train/acc: 0.6240   valid/acc: 0.6346
Epoch 72:   train/loss: 1.1195   valid/loss: 0.7335   train/acc: 0.6281   valid/acc: 0.6154
Epoch 73:   train/loss: 0.8344   valid/loss: 0.7486   train/acc: 0.6612   valid/acc: 0.6346
Epoch 74:   train/loss: 0.1557   valid/loss: 0.7157   train/acc: 0.6240   valid/acc: 0.6346
Epoch 75:   train/loss: 1.1447   valid/loss: 0.6932   train/acc: 0.6488   valid/acc: 0.6538
Epoch 76:   train/loss: 0.6221   valid/loss: 0.7276   train/acc: 0.6240   valid/acc: 0.5769
Epoch 77:   train/loss: 0.4405   valid/loss: 0.7991   train/acc: 0.6694   valid/acc: 0.5962
Epoch 78:   train/loss: 0.1716   valid/loss: 0.7595   train/acc: 0.6033   valid/acc: 0.5962
Epoch 79:   train/loss: 1.0097   valid/loss: 0.7641   train/acc: 0.5744   valid/acc: 0.5577
Epoch 80:   train/loss: 0.2040   valid/loss: 0.7638   train/acc: 0.6281   valid/acc: 0.5962
Epoch 81:   train/loss: 1.5510   valid/loss: 0.7927   train/acc: 0.6653   valid/acc: 0.6346
Epoch 82:   train/loss: 0.3268   valid/loss: 0.8072   train/acc: 0.6240   valid/acc: 0.6154
Epoch 83:   train/loss: 0.8163   valid/loss: 0.8402   train/acc: 0.6364   valid/acc: 0.6538
Epoch 84:   train/loss: 0.8774   valid/loss: 0.7933   train/acc: 0.6529   valid/acc: 0.6346
Epoch 85:   train/loss: 0.8034   valid/loss: 0.8150   train/acc: 0.5702   valid/acc: 0.6346
Epoch 86:   train/loss: 0.2076   valid/loss: 0.7922   train/acc: 0.6488   valid/acc: 0.6538
Epoch 87:   train/loss: 1.1804   valid/loss: 0.7759   train/acc: 0.6033   valid/acc: 0.6346
Epoch 88:   train/loss: 0.4156   valid/loss: 0.7617   train/acc: 0.6570   valid/acc: 0.6346
Epoch 89:   train/loss: 0.7771   valid/loss: 0.7734   train/acc: 0.6488   valid/acc: 0.6346
Epoch 90:   train/loss: 0.5423   valid/loss: 0.7861   train/acc: 0.6384   valid/acc: 0.6346
Epoch 91:   train/loss: 0.6526   valid/loss: 0.7986   train/acc: 0.5537   valid/acc: 0.6346
Epoch 92:   train/loss: 0.8722   valid/loss: 0.7665   train/acc: 0.6694   valid/acc: 0.6538
Epoch 93:   train/loss: 0.8868   valid/loss: 0.7493   train/acc: 0.5992   valid/acc: 0.6731
Epoch 94:   train/loss: 0.9641   valid/loss: 0.7359   train/acc: 0.6612   valid/acc: 0.6731
Epoch 95:   train/loss: 0.3968   valid/loss: 0.7307   train/acc: 0.6384   valid/acc: 0.7115
Epoch 96:   train/loss: 1.5307   valid/loss: 0.7572   train/acc: 0.6322   valid/acc: 0.6538
Epoch 97:   train/loss: 0.5463   valid/loss: 0.8157   train/acc: 0.6694   valid/acc: 0.6731
Epoch 98:   train/loss: 0.9723   valid/loss: 0.8534   train/acc: 0.6157   valid/acc: 0.6731
Epoch 99:   train/loss: 0.6854   valid/loss: 0.8840   train/acc: 0.6550   valid/acc: 0.6731
Epoch 100:  train/loss: 0.6130   valid/loss: 0.8282   train/acc: 0.7025   valid/acc: 0.6731
Epoch 101:  train/loss: 0.7126   valid/loss: 0.7607   train/acc: 0.6901   valid/acc: 0.6923
Epoch 102:  train/loss: 1.0347   valid/loss: 0.7493   train/acc: 0.5992   valid/acc: 0.6731
Epoch 103:  train/loss: 0.7742   valid/loss: 0.7253   train/acc: 0.6364   valid/acc: 0.6538
Epoch 104:  train/loss: 0.8289   valid/loss: 0.7805   train/acc: 0.6405   valid/acc: 0.6731
Epoch 105:  train/loss: 0.1216   valid/loss: 0.7773   train/acc: 0.6777   valid/acc: 0.6731
Epoch 106:  train/loss: 0.9084   valid/loss: 0.7675   train/acc: 0.6612   valid/acc: 0.6731
Epoch 107:  train/loss: 0.4734   valid/loss: 0.7852   train/acc: 0.6612   valid/acc: 0.6154
Epoch 108:  train/loss: 0.2290   valid/loss: 0.7817   train/acc: 0.6426   valid/acc: 0.6346
Epoch 109:  train/loss: 0.3131   valid/loss: 0.7895   train/acc: 0.6095   valid/acc: 0.6346
Epoch 110:  train/loss: 0.6204   valid/loss: 0.7703   train/acc: 0.6736   valid/acc: 0.6154
Epoch 111:  train/loss: 0.2503   valid/loss: 0.7869   train/acc: 0.6219   valid/acc: 0.6346
Epoch 112:  train/loss: 0.6203   valid/loss: 0.7947   train/acc: 0.6736   valid/acc: 0.6154
Epoch 113:  train/loss: 1.6463   valid/loss: 0.7746   train/acc: 0.6694   valid/acc: 0.6346
Epoch 114:  train/loss: 0.5802   valid/loss: 0.7601   train/acc: 0.6694   valid/acc: 0.6154
Epoch 115:  train/loss: 1.0252   valid/loss: 0.7331   train/acc: 0.6446   valid/acc: 0.6154
Epoch 116:  train/loss: 0.2314   valid/loss: 0.7298   train/acc: 0.6818   valid/acc: 0.6346
Epoch 117:  train/loss: 0.9342   valid/loss: 0.7214   train/acc: 0.6116   valid/acc: 0.6538
Epoch 118:  train/loss: 0.2916   valid/loss: 0.7049   train/acc: 0.6715   valid/acc: 0.6346
Epoch 119:  train/loss: 1.3388   valid/loss: 0.7825   train/acc: 0.6364   valid/acc: 0.6346
Epoch 120:  train/loss: 0.9522   valid/loss: 0.7206   train/acc: 0.6694   valid/acc: 0.6346
Epoch 121:  train/loss: 0.7477   valid/loss: 0.7049   train/acc: 0.6736   valid/acc: 0.6346
Epoch 122:  train/loss: 0.4440   valid/loss: 0.6990   train/acc: 0.6653   valid/acc: 0.6346
Epoch 123:  train/loss: 0.3781   valid/loss: 0.6947   train/acc: 0.6777   valid/acc: 0.6154
Epoch 124:  train/loss: 1.1175   valid/loss: 0.7017   train/acc: 0.6715   valid/acc: 0.5962
Epoch 125:  train/loss: 0.4524   valid/loss: 0.7250   train/acc: 0.6653   valid/acc: 0.5962
Epoch 126:  train/loss: 0.1382   valid/loss: 0.6944   train/acc: 0.7231   valid/acc: 0.5962
Epoch 127:  train/loss: 0.6596   valid/loss: 0.7395   train/acc: 0.6983   valid/acc: 0.5962
Epoch 128:  train/loss: 0.6952   valid/loss: 0.7384   train/acc: 0.6756   valid/acc: 0.5962
Epoch 129:  train/loss: 1.0437   valid/loss: 0.7279   train/acc: 0.6777   valid/acc: 0.5962
Epoch 130:  train/loss: 0.2699   valid/loss: 0.7235   train/acc: 0.6901   valid/acc: 0.5962
Epoch 131:  train/loss: 0.0800   valid/loss: 0.7134   train/acc: 0.7066   valid/acc: 0.6346
Epoch 132:  train/loss: 2.0052   valid/loss: 0.6836   train/acc: 0.7107   valid/acc: 0.6731
Epoch 133:  train/loss: 0.1977   valid/loss: 0.6783   train/acc: 0.7066   valid/acc: 0.6923
Epoch 134:  train/loss: 0.5286   valid/loss: 0.6469   train/acc: 0.6550   valid/acc: 0.6346
Epoch 135:  train/loss: 0.9454   valid/loss: 0.6482   train/acc: 0.6570   valid/acc: 0.6538
Epoch 136:  train/loss: 0.7039   valid/loss: 0.6448   train/acc: 0.6612   valid/acc: 0.6346
Epoch 137:  train/loss: 0.1508   valid/loss: 0.6529   train/acc: 0.6777   valid/acc: 0.6538
Epoch 138:  train/loss: 0.1340   valid/loss: 0.6705   train/acc: 0.6901   valid/acc: 0.6346
Epoch 139:  train/loss: 0.7711   valid/loss: 0.6756   train/acc: 0.6860   valid/acc: 0.6731
Epoch 140:  train/loss: 0.5976   valid/loss: 0.6595   train/acc: 0.7025   valid/acc: 0.6538
Epoch 141:  train/loss: 0.7339   valid/loss: 0.7233   train/acc: 0.6777   valid/acc: 0.6346
Epoch 142:  train/loss: 0.2219   valid/loss: 0.7218   train/acc: 0.7231   valid/acc: 0.6346
