epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.4835,0.4711,0.4711,0.4711,0.4711
2,0.5207,0.4835,0.4835,0.4835,0.4835
3,0.5785,0.5248,0.5207,0.5165,0.5248
4,0.5248,0.4752,0.4876,0.4959,0.4421
5,0.5413,0.4628,0.4215,0.4463,0.4504
6,0.5620,0.5455,0.5413,0.5496,0.5248
7,0.5413,0.5041,0.5041,0.5000,0.5083
8,0.5083,0.5041,0.5537,0.5248,0.5620
9,0.5537,0.5351,0.5000,0.5413,0.5165
10,0.5579,0.5434,0.5620,0.5702,0.5207
11,0.6116,0.5413,0.5744,0.5702,0.5702
12,0.5269,0.5909,0.5537,0.5909,0.5661
13,0.5950,0.5496,0.5496,0.5826,0.5207
14,0.5992,0.5764,0.5517,0.5413,0.4752
15,0.6074,0.5909,0.5661,0.5950,0.5413
16,0.6116,0.5971,0.6343,0.6322,0.5744
17,0.5826,0.5702,0.6198,0.5785,0.5041
18,0.5992,0.5661,0.5661,0.6198,0.5207
19,0.5785,0.6322,0.6074,0.6281,0.5331
20,0.5826,0.5950,0.6446,0.5950,0.5661
21,0.5744,0.6033,0.6446,0.6054,0.5496
22,0.5868,0.5909,0.6405,0.6033,0.5124
23,0.6074,0.5992,0.6281,0.6364,0.5413
24,0.5950,0.5744,0.6364,0.6054,0.5455
25,0.6033,0.6488,0.6033,0.6488,0.5372
26,0.6116,0.6198,0.6694,0.5868,0.5744
27,0.6033,0.6116,0.6074,0.6116,0.5372
28,0.6240,0.6653,0.5909,0.6198,0.5826
29,0.6033,0.6116,0.6488,0.6240,0.5620
30,0.5950,0.5971,0.6942,0.6157,0.5868
31,0.5909,0.6281,0.6736,0.6116,0.5992
32,0.5826,0.6074,0.6467,0.6322,0.5785
33,0.6074,0.6364,0.6364,0.6157,0.5413
34,0.5744,0.6157,0.6240,0.6612,0.5455
35,0.6157,0.6281,0.6612,0.6322,0.5868
36,0.5785,0.6198,0.6240,0.6219,0.5000
37,0.5909,0.5950,0.6818,0.6860,0.5702
38,0.6488,0.6488,0.6198,0.6612,0.5413
39,0.6198,0.6612,0.6157,0.6570,0.5909
40,0.5620,0.6074,0.6488,0.5950,0.5455
41,0.6033,0.6446,0.5620,0.6322,0.6405
42,0.6240,0.6612,0.5909,0.6570,0.6364
43,0.5950,0.6322,0.6281,0.6570,0.5888
44,0.6033,0.6446,0.6033,0.7149,0.5537
45,0.5826,0.6322,0.6240,0.6653,0.5868
46,0.6281,0.6405,0.6322,0.6860,0.5620
47,0.6446,0.6653,0.6198,0.6777,0.5950
48,0.6529,0.6343,0.5950,0.6860,0.6116
49,0.6322,0.6488,0.5661,0.6736,0.5620
50,0.6240,0.7025,0.6736,0.6901,0.6074
51,0.6446,0.6322,0.6612,0.6860,0.6157
52,0.6736,0.6322,0.6570,0.6983,0.6012
53,0.6446,0.6653,0.6405,0.7025,0.6074
54,0.6777,0.6446,0.6777,0.7066,0.5744
55,0.6322,0.6446,0.6860,0.6612,0.6033
56,0.6322,0.6446,0.6446,0.6715,0.6446
57,0.6736,0.6529,0.6860,0.7190,0.5888
58,0.6488,0.6736,0.6777,0.6653,0.6116
59,0.6777,0.6488,0.6612,0.7025,0.5744
60,0.6860,0.6818,0.6322,0.6736,0.6157
61,0.6529,0.6116,0.6488,0.6983,0.6033
62,0.6777,0.6612,0.6818,0.6901,0.5868
63,0.6570,0.6736,0.6612,0.6612,0.5702
64,0.6488,0.6653,0.6612,0.6777,0.5909
65,0.6736,0.7025,0.6694,0.7355,0.5950
66,0.6322,0.6942,0.6612,0.6612,0.5930
67,0.6446,0.6488,0.6694,0.6942,0.5950
68,0.6488,0.7025,0.6612,0.6694,0.5785
69,0.6653,0.6818,0.6240,0.7025,0.6033
70,0.6529,0.6446,0.6488,0.7066,0.5785
71,0.6612,0.6818,0.7045,0.7025,0.6157
72,0.6446,0.6860,0.6446,0.6983,0.5950
73,0.7066,0.7149,0.6777,0.6798,0.5785
74,0.6488,0.6446,0.6322,0.7521,0.6198
75,0.6818,0.6653,0.6694,0.7066,0.5806
76,0.6736,0.6901,0.6446,0.7025,0.5826
77,0.6405,0.6736,0.6529,0.7025,0.6178
78,0.6653,0.6570,0.6653,0.6777,0.5702
79,0.6446,0.6818,0.6612,0.6860,0.6322
80,0.6488,0.6694,0.6157,0.7149,0.6033
81,0.6364,0.6860,0.6405,0.6942,0.5744
82,0.6736,0.6901,0.6736,0.6818,0.6074
83,0.6653,0.7066,0.6777,0.7231,0.5744
84,0.6736,0.7231,0.6446,0.7107,0.6198
85,0.6777,0.6901,0.6612,0.6777,0.6240
86,0.6591,0.6860,0.7025,0.7273,0.6281
87,0.6901,0.7149,0.7025,0.6570,0.6281
88,0.6694,0.7066,0.6570,0.7025,0.6302
89,0.6942,0.6860,0.6446,0.7438,0.6240
90,0.7149,0.6860,0.6694,0.7397,0.6054
91,0.6694,0.6612,0.6777,0.7583,0.5930
92,0.6446,0.6694,0.6446,0.7025,0.5992
93,0.6942,0.6818,0.6983,0.7355,0.5909
94,0.6818,0.6942,0.6860,0.7273,0.5888
95,0.6529,0.7025,0.7273,0.7355,0.6281
96,0.6653,0.6901,0.6488,0.7355,0.6343
97,0.6488,0.6736,0.6860,0.7149,0.6322
98,0.6942,0.7025,0.6942,0.6983,0.6570
99,0.6983,0.7107,0.6570,0.6942,0.5930
100,0.6653,0.6860,0.7107,0.7211,0.6074
101,0.7025,0.6860,0.6694,0.6860,0.6136
102,0.6612,0.6942,0.6694,0.7190,0.5992
103,0.6157,0.7025,0.7066,0.7355,0.6281
104,0.7107,0.6901,0.6901,0.7107,0.6281
105,0.6942,0.7025,0.6570,0.7314,0.5744
106,0.7149,0.7066,0.6694,0.7066,0.5868
107,0.6612,0.6983,0.6736,0.7645,0.6157
108,0.6942,0.6901,0.6736,0.6777,0.6240
109,0.6942,0.6818,0.6488,0.7314,0.5868
110,0.6983,0.6901,0.6240,0.7314,0.5455
111,0.6901,0.7107,0.6570,0.7645,0.5950
112,0.6529,0.6942,0.6777,0.7149,0.6426
113,0.7149,0.6860,0.6736,0.7397,0.6281
114,0.6983,0.6983,0.6901,0.7273,0.5785
115,0.6983,0.6901,0.7025,0.7686,0.5744
116,0.6653,0.7149,0.6736,0.7211,0.6054
117,0.6694,0.7045,0.7273,0.6983,0.6384
118,0.6612,0.7107,0.7025,0.7190,0.6488
119,0.6694,0.7025,0.7066,0.7397,0.6612
120,0.7025,0.6942,0.7107,0.6942,0.6302
121,0.6612,0.6860,0.6736,0.7603,0.6054
122,0.6983,0.6570,0.6694,0.7025,0.6033
