epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.4587,0.5000,0.5000,0.5000,0.5000
2,0.4959,0.5620,0.5620,0.5620,0.5620
3,0.5083,0.4876,0.4876,0.4876,0.4876
4,0.5207,0.6116,0.6116,0.6116,0.5992
5,0.5785,0.5868,0.5785,0.5826,0.5785
6,0.5083,0.5537,0.5331,0.5289,0.5496
7,0.5455,0.5661,0.5661,0.5579,0.5496
8,0.5661,0.5888,0.5682,0.5888,0.6198
9,0.5496,0.5702,0.5744,0.5620,0.5661
10,0.5826,0.5579,0.5785,0.5661,0.5744
11,0.5826,0.5702,0.5785,0.5744,0.5413
12,0.5992,0.5888,0.5909,0.5640,0.5909
13,0.5620,0.5661,0.5909,0.5455,0.5868
14,0.5517,0.6281,0.6529,0.6157,0.5785
15,0.6116,0.5455,0.5579,0.5620,0.5868
16,0.6198,0.5868,0.6033,0.5496,0.5661
17,0.5909,0.6240,0.6488,0.6364,0.6446
18,0.5496,0.5165,0.6198,0.5723,0.6116
19,0.6033,0.5992,0.5950,0.5579,0.5248
20,0.5868,0.5702,0.5826,0.5661,0.5950
21,0.6074,0.6240,0.6240,0.6281,0.5868
22,0.6281,0.5744,0.6281,0.6116,0.5785
23,0.6694,0.5744,0.5950,0.5909,0.5992
24,0.6033,0.5289,0.6033,0.6033,0.5682
25,0.6240,0.5248,0.5992,0.5496,0.5826
26,0.6116,0.5661,0.6446,0.6281,0.6281
27,0.6736,0.5620,0.6074,0.5826,0.5661
28,0.6756,0.6033,0.5909,0.6364,0.5620
29,0.6074,0.5496,0.6157,0.6157,0.5620
30,0.6529,0.6198,0.6653,0.6157,0.6529
31,0.6260,0.6157,0.6033,0.5826,0.6033
32,0.6198,0.5702,0.6116,0.6446,0.6095
33,0.6591,0.5372,0.6074,0.6198,0.5620
34,0.6860,0.5413,0.5744,0.6157,0.5620
35,0.5909,0.5744,0.5826,0.5950,0.6074
36,0.6198,0.5413,0.5868,0.6157,0.5579
37,0.6488,0.6033,0.6074,0.6364,0.5868
38,0.6157,0.5248,0.6116,0.6033,0.5868
39,0.6860,0.5165,0.5909,0.5702,0.5413
40,0.6508,0.5620,0.6157,0.5868,0.5661
41,0.6384,0.5868,0.6364,0.5950,0.6074
42,0.6488,0.5868,0.6116,0.6488,0.5909
43,0.6198,0.6157,0.6405,0.6240,0.6116
44,0.6446,0.5826,0.6570,0.6777,0.6157
45,0.6281,0.6405,0.6281,0.6653,0.6529
46,0.7190,0.5992,0.6364,0.6033,0.6074
47,0.6570,0.6116,0.6240,0.6818,0.6198
48,0.6281,0.5806,0.6281,0.6240,0.6116
49,0.6694,0.5744,0.6116,0.6529,0.6570
50,0.6405,0.5579,0.6322,0.6653,0.5950
51,0.6281,0.6570,0.6736,0.6818,0.6157
52,0.6364,0.6116,0.6240,0.5992,0.6364
53,0.6839,0.5992,0.6364,0.6281,0.5723
54,0.6529,0.6488,0.6240,0.6240,0.6033
55,0.6653,0.6240,0.6322,0.6942,0.6033
56,0.7025,0.6033,0.5702,0.6116,0.6405
57,0.6942,0.6116,0.6157,0.6736,0.6033
58,0.6550,0.6322,0.6446,0.6694,0.6198
59,0.6529,0.6240,0.5950,0.6529,0.6074
60,0.6529,0.6570,0.6322,0.6570,0.6343
61,0.6942,0.6033,0.6198,0.6612,0.6446
62,0.6591,0.6281,0.6322,0.6446,0.6281
63,0.6632,0.6157,0.6240,0.6364,0.5950
64,0.6529,0.6198,0.6322,0.6736,0.6405
65,0.6570,0.6570,0.6488,0.6777,0.6198
66,0.6756,0.6157,0.6860,0.6322,0.6322
67,0.6529,0.6116,0.6446,0.6612,0.6281
68,0.6550,0.6240,0.6653,0.6736,0.6095
69,0.6860,0.6612,0.6446,0.6612,0.6322
70,0.6818,0.6818,0.5992,0.6818,0.6198
71,0.6756,0.6281,0.6116,0.6529,0.6033
72,0.6715,0.6157,0.6074,0.6116,0.6240
73,0.6798,0.6364,0.6281,0.6756,0.6446
74,0.6591,0.6240,0.6198,0.6240,0.6157
75,0.6777,0.6694,0.6240,0.6446,0.6446
76,0.6921,0.6446,0.6116,0.7025,0.6446
77,0.6674,0.6281,0.6612,0.6405,0.5868
78,0.6612,0.6405,0.6281,0.6860,0.6446
79,0.7231,0.6281,0.6116,0.6446,0.6364
80,0.6364,0.6240,0.6157,0.6198,0.6405
81,0.6715,0.6322,0.5992,0.6612,0.6570
82,0.7066,0.6446,0.6364,0.6570,0.5785
83,0.6818,0.5868,0.6116,0.6736,0.6405
84,0.6818,0.6281,0.6529,0.6446,0.6322
85,0.6736,0.6694,0.6116,0.6653,0.5992
86,0.6736,0.6364,0.6033,0.6364,0.6405
87,0.7252,0.6488,0.6653,0.6777,0.6240
88,0.6736,0.6157,0.6322,0.6405,0.6488
89,0.6901,0.6033,0.5992,0.6694,0.6570
90,0.7252,0.6612,0.5909,0.6570,0.5868
91,0.6818,0.6818,0.5950,0.6694,0.5992
92,0.6942,0.6653,0.6322,0.6157,0.6116
93,0.7211,0.6529,0.6074,0.6777,0.6157
94,0.7190,0.6116,0.5661,0.6446,0.6157
95,0.6570,0.6529,0.6157,0.6322,0.5785
96,0.6674,0.6364,0.6074,0.6198,0.6033
97,0.7066,0.6818,0.6570,0.6322,0.6405
98,0.6777,0.6364,0.5909,0.6074,0.6322
