epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
118,0.6715,0.6632,0.6777,0.7190,0.6736
119,0.6364,0.6302,0.6736,0.7025,0.6777
120,0.6694,0.6219,0.6860,0.6983,0.6777
121,0.6736,0.6632,0.6570,0.7314,0.7066
122,0.6653,0.6818,0.6860,0.6983,0.7025
123,0.6777,0.6612,0.6612,0.7355,0.6901
124,0.6715,0.6364,0.6570,0.6488,0.6488
125,0.6653,0.6488,0.7025,0.7273,0.7025
126,0.7231,0.6653,0.6198,0.6777,0.5992
127,0.6983,0.6777,0.6777,0.6694,0.6405
128,0.6756,0.6343,0.6736,0.6632,0.6736
129,0.6777,0.6570,0.6736,0.6777,0.6694
130,0.6901,0.6942,0.6343,0.6488,0.6942
131,0.7066,0.6467,0.6736,0.6818,0.6777
132,0.7107,0.6570,0.7107,0.7190,0.6488
133,0.7066,0.6860,0.6570,0.6653,0.6736
134,0.6550,0.6322,0.7149,0.7107,0.6364
135,0.6570,0.7004,0.6901,0.6818,0.6529
136,0.6612,0.6116,0.6632,0.6674,0.6674
137,0.6777,0.7045,0.6364,0.6529,0.6983
138,0.6901,0.6384,0.6488,0.6860,0.6736
139,0.6860,0.6426,0.6860,0.6736,0.6901
140,0.7025,0.6632,0.6818,0.6860,0.6612
141,0.6777,0.6488,0.6591,0.6446,0.6178
142,0.7231,0.6694,0.7107,0.6364,0.6736
143,0.7025,0.6777,0.6446,0.6860,0.6116
144,0.7025,0.6777,0.6818,0.7149,0.6488
145,0.6901,0.6674,0.6798,0.6612,0.7231
146,0.7107,0.6322,0.6860,0.6446,0.6508
147,0.6983,0.6818,0.6818,0.6756,0.6653
148,0.6942,0.7273,0.7066,0.7025,0.6488
149,0.6736,0.6591,0.7025,0.6983,0.6942
150,0.7314,0.6736,0.7025,0.6446,0.6818
151,0.6777,0.6715,0.6777,0.6901,0.6983
152,0.7087,0.6818,0.6570,0.7149,0.6777
153,0.6529,0.7025,0.6860,0.6446,0.6612
154,0.7107,0.6364,0.7190,0.7087,0.7190
155,0.7149,0.6901,0.7025,0.6983,0.6570
156,0.6860,0.6674,0.6860,0.6612,0.6860
157,0.6860,0.6777,0.6612,0.6942,0.6674
158,0.7045,0.6736,0.6983,0.6694,0.6488
159,0.6736,0.6632,0.6529,0.6777,0.6653
160,0.7190,0.6880,0.6818,0.6612,0.6777
161,0.7107,0.6983,0.7025,0.6488,0.6694
162,0.6860,0.6901,0.7417,0.7335,0.7107
163,0.7087,0.7190,0.7045,0.7107,0.6901
164,0.6570,0.6839,0.7231,0.7231,0.6901
165,0.7355,0.6880,0.6612,0.6570,0.6612
166,0.6818,0.6612,0.6901,0.6983,0.6364
167,0.7025,0.7149,0.6736,0.7107,0.6983
168,0.7025,0.6921,0.7107,0.7355,0.6901
169,0.7438,0.6570,0.7149,0.7107,0.7107
170,0.7128,0.6426,0.6818,0.7438,0.7397
171,0.6860,0.6818,0.6901,0.7190,0.6942
172,0.6777,0.6839,0.7066,0.7149,0.6818
173,0.7149,0.6880,0.6983,0.6901,0.6942
174,0.7107,0.6570,0.6818,0.6942,0.6777
175,0.7107,0.6839,0.6983,0.6653,0.6529
176,0.7211,0.7376,0.7107,0.7190,0.6446
177,0.6818,0.7479,0.7107,0.7273,0.7149
178,0.7314,0.6653,0.6983,0.6653,0.6736
179,0.7025,0.7252,0.7314,0.7231,0.6777
180,0.6963,0.7004,0.7231,0.7314,0.6777
181,0.7149,0.6529,0.6901,0.6612,0.6240
182,0.7025,0.7149,0.7066,0.6942,0.6736
183,0.7231,0.7231,0.6736,0.6777,0.6364
184,0.7314,0.6591,0.6983,0.7149,0.6860
185,0.6777,0.7025,0.7190,0.7273,0.6550
186,0.7397,0.7004,0.7231,0.7438,0.6612
187,0.7169,0.7149,0.7190,0.7231,0.6818
188,0.7107,0.7231,0.7273,0.7149,0.6157
189,0.7417,0.7293,0.6860,0.6942,0.6570
190,0.7273,0.6983,0.6694,0.6901,0.6653
191,0.7149,0.7128,0.7066,0.7231,0.6983
192,0.7273,0.7169,0.6653,0.6983,0.7314
193,0.7107,0.6921,0.7149,0.7190,0.6570
194,0.7025,0.6839,0.6612,0.7066,0.6302
195,0.7273,0.6653,0.7149,0.7273,0.6488
196,0.6983,0.7190,0.6736,0.7149,0.6777
197,0.7066,0.7273,0.6860,0.6963,0.7417
198,0.7479,0.6921,0.7107,0.6818,0.7149
199,0.7087,0.7500,0.6860,0.7355,0.6942
200,0.7397,0.7169,0.7149,0.7190,0.6942
