epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.4861,0.5185,0.5185,0.5185,0.5185
2,0.5139,0.5231,0.5231,0.5231,0.5231
3,0.5602,0.5532,0.5532,0.5532,0.5532
4,0.5671,0.4977,0.4977,0.4977,0.4977
5,0.5556,0.5278,0.5278,0.5278,0.5278
6,0.5741,0.5694,0.5694,0.5602,0.5602
7,0.5880,0.5787,0.5787,0.5787,0.5787
8,0.5856,0.5648,0.5648,0.5602,0.5602
9,0.6389,0.5509,0.5463,0.5556,0.5556
10,0.6250,0.5880,0.5833,0.5833,0.5880
11,0.6181,0.5903,0.5903,0.6181,0.6088
12,0.6435,0.5810,0.5856,0.5903,0.5648
13,0.5787,0.6157,0.6065,0.5995,0.5903
14,0.5880,0.5764,0.5718,0.5625,0.5764
15,0.6435,0.5532,0.5486,0.5741,0.5671
16,0.6042,0.5347,0.5440,0.5579,0.5532
17,0.5301,0.5995,0.6042,0.5995,0.6042
18,0.6551,0.5509,0.5602,0.5880,0.5880
19,0.5995,0.5880,0.5926,0.5509,0.5556
20,0.6273,0.5764,0.5671,0.5741,0.5532
21,0.6042,0.6088,0.5903,0.6227,0.6088
22,0.6134,0.5764,0.5903,0.5787,0.5694
23,0.6273,0.5625,0.5694,0.5579,0.5741
24,0.6412,0.5903,0.6227,0.6019,0.6019
25,0.6134,0.5995,0.5995,0.5949,0.5787
26,0.6667,0.5648,0.5741,0.5162,0.5417
27,0.7060,0.5671,0.5671,0.5856,0.6088
28,0.6227,0.5926,0.6157,0.6134,0.5926
29,0.6597,0.6250,0.6204,0.5880,0.5602
30,0.6088,0.6157,0.6065,0.5509,0.5926
31,0.6389,0.5972,0.6343,0.5880,0.5648
32,0.6435,0.5648,0.5602,0.5463,0.5556
33,0.6019,0.5509,0.5602,0.5556,0.5370
34,0.6551,0.6134,0.6319,0.6644,0.6597
35,0.6435,0.5625,0.5903,0.6042,0.6111
36,0.6620,0.5949,0.6296,0.5949,0.6157
37,0.6759,0.6343,0.6389,0.6481,0.6343
38,0.6319,0.5880,0.6065,0.5810,0.5880
39,0.6157,0.5880,0.5995,0.5625,0.5532
40,0.6667,0.5903,0.5764,0.6134,0.5764
41,0.6389,0.6296,0.6528,0.6343,0.6250
42,0.7130,0.6042,0.6250,0.6065,0.5903
43,0.6389,0.5810,0.5625,0.5949,0.6088
44,0.5995,0.5694,0.6019,0.6181,0.6319
45,0.6713,0.6204,0.6065,0.6065,0.6019
46,0.6667,0.5972,0.6019,0.6042,0.6134
47,0.6690,0.6435,0.6528,0.6412,0.6458
48,0.6435,0.6042,0.6343,0.6181,0.6065
49,0.7014,0.6690,0.6597,0.6412,0.6366
50,0.6458,0.5856,0.6088,0.6204,0.6181
51,0.6806,0.6389,0.6157,0.6157,0.6111
52,0.7106,0.5741,0.5741,0.5856,0.6227
53,0.6366,0.6319,0.6458,0.6366,0.6458
54,0.6898,0.6204,0.6019,0.6250,0.6111
55,0.6713,0.6204,0.6412,0.5903,0.6134
56,0.7060,0.6597,0.6829,0.6597,0.6736
57,0.6644,0.5648,0.6088,0.6319,0.6458
58,0.7037,0.6250,0.6574,0.6204,0.6250
59,0.6898,0.6296,0.6065,0.6134,0.6296
60,0.6574,0.6019,0.6204,0.5903,0.6019
61,0.6667,0.6343,0.6620,0.6412,0.6343
62,0.7130,0.5810,0.6366,0.6366,0.6273
63,0.6528,0.6829,0.6458,0.6620,0.6736
64,0.6921,0.6481,0.6481,0.6065,0.6343
65,0.6620,0.6296,0.6435,0.5995,0.6250
66,0.6898,0.6157,0.6620,0.6528,0.6389
67,0.7060,0.6296,0.5972,0.6181,0.6157
