epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.4876,0.4711,0.4711,0.4711,0.4711
2,0.4876,0.5496,0.5496,0.5661,0.5496
3,0.5785,0.5702,0.5620,0.5785,0.5620
4,0.5702,0.5248,0.5372,0.5207,0.5372
5,0.4979,0.5083,0.5041,0.5124,0.5041
6,0.5868,0.4711,0.4876,0.5000,0.4876
7,0.5372,0.5248,0.5537,0.5186,0.5579
8,0.5372,0.5331,0.5455,0.5537,0.5207
9,0.5455,0.5124,0.5248,0.5496,0.5248
10,0.5826,0.5455,0.4959,0.5661,0.5124
11,0.5331,0.5413,0.5289,0.5413,0.5248
12,0.5103,0.5455,0.5413,0.6116,0.5207
13,0.5289,0.5579,0.5537,0.5083,0.4463
14,0.5413,0.5537,0.5331,0.5124,0.5413
15,0.5537,0.5124,0.5434,0.5702,0.5124
16,0.5744,0.5785,0.5661,0.5744,0.5950
17,0.5475,0.5620,0.5950,0.5537,0.5579
18,0.6116,0.5537,0.5744,0.5702,0.5455
19,0.5702,0.5826,0.5702,0.6116,0.5413
20,0.6281,0.5806,0.5517,0.5331,0.5620
21,0.5537,0.5868,0.5868,0.5579,0.5372
22,0.6405,0.5868,0.5496,0.5744,0.5826
23,0.5909,0.5372,0.5496,0.5950,0.5496
24,0.6116,0.5661,0.5165,0.5207,0.5413
25,0.5517,0.5620,0.5579,0.5868,0.5909
26,0.5909,0.5806,0.5496,0.6281,0.5124
27,0.6074,0.6033,0.5413,0.5661,0.5248
28,0.5785,0.5496,0.4917,0.5909,0.6116
29,0.5496,0.5579,0.6033,0.5661,0.5909
30,0.6074,0.6198,0.5826,0.6529,0.5702
31,0.5909,0.5785,0.5413,0.6033,0.5537
32,0.5537,0.5826,0.5496,0.5434,0.5702
33,0.5992,0.5992,0.5620,0.5041,0.5909
34,0.5992,0.5620,0.5496,0.5950,0.5041
35,0.5950,0.5909,0.5455,0.6364,0.5599
36,0.5620,0.6033,0.5413,0.5806,0.5785
37,0.6219,0.6074,0.5620,0.5826,0.5331
38,0.5744,0.5455,0.5289,0.6074,0.5455
39,0.5702,0.5372,0.5620,0.5992,0.5579
40,0.6033,0.5826,0.5909,0.5950,0.5496
41,0.5744,0.5455,0.5826,0.5826,0.5083
42,0.6198,0.5702,0.6074,0.5579,0.5744
43,0.6074,0.5992,0.5785,0.5992,0.5744
44,0.5950,0.5868,0.5702,0.5992,0.5455
45,0.6612,0.5744,0.5579,0.5496,0.5744
46,0.6405,0.5950,0.5620,0.5331,0.5826
47,0.5702,0.5620,0.6033,0.5620,0.5372
48,0.6157,0.5785,0.5909,0.6157,0.5413
49,0.5868,0.5826,0.5868,0.6033,0.6322
50,0.5702,0.5083,0.5992,0.6074,0.5248
