epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.4945,0.4945,0.4945,0.4945,0.4945
2,0.5659,0.5659,0.5659,0.5659,0.5659
3,0.5714,0.5714,0.5714,0.5714,0.5714
4,0.5549,0.5549,0.5549,0.5549,0.5549
5,0.5055,0.5165,0.5165,0.5165,0.5165
6,0.5055,0.5604,0.5604,0.5604,0.5604
7,0.5824,0.5165,0.5275,0.5055,0.4945
8,0.7308,0.6099,0.6209,0.5879,0.6209
9,0.6593,0.5275,0.5495,0.5165,0.5495
10,0.7363,0.5879,0.5769,0.5330,0.6099
11,0.6538,0.5440,0.5495,0.5824,0.6429
12,0.6484,0.6044,0.5495,0.5385,0.6319
13,0.6758,0.6703,0.5824,0.6813,0.7363
14,0.6923,0.7308,0.6593,0.5934,0.6703
15,0.6978,0.6538,0.6429,0.6538,0.6209
16,0.7802,0.6429,0.5604,0.6758,0.6484
17,0.6923,0.6703,0.5824,0.5824,0.7363
18,0.6703,0.6978,0.7473,0.6209,0.6868
19,0.7473,0.6978,0.6703,0.6374,0.6758
20,0.7802,0.6978,0.7143,0.7418,0.7418
21,0.7143,0.6319,0.6264,0.6484,0.6429
22,0.7582,0.6648,0.6484,0.6593,0.7253
23,0.7912,0.6538,0.7473,0.6868,0.7143
24,0.7473,0.6868,0.6484,0.6868,0.7143
25,0.6593,0.6978,0.7198,0.6923,0.6923
26,0.7253,0.6868,0.6703,0.7088,0.6374
27,0.7692,0.7802,0.6923,0.8077,0.7033
28,0.7582,0.6538,0.6813,0.7747,0.6648
29,0.7033,0.7308,0.6813,0.7582,0.6978
30,0.7253,0.6758,0.6593,0.7253,0.7692
31,0.7582,0.7418,0.6593,0.7967,0.7418
32,0.6923,0.7473,0.6703,0.7857,0.7582
33,0.7473,0.7088,0.7198,0.7857,0.6648
34,0.8462,0.7363,0.7967,0.8022,0.7912
35,0.7912,0.7253,0.7692,0.7967,0.7473
36,0.7143,0.7143,0.6978,0.7253,0.7473
37,0.8022,0.8187,0.7582,0.8132,0.7967
38,0.8132,0.7363,0.7363,0.8077,0.7802
39,0.7857,0.7692,0.7747,0.8132,0.8187
40,0.8132,0.8132,0.8187,0.8132,0.8462
41,0.8022,0.7582,0.7912,0.8681,0.7253
42,0.7582,0.8297,0.7857,0.8407,0.8022
43,0.8462,0.7143,0.7747,0.8626,0.8352
44,0.7912,0.8242,0.8462,0.8187,0.8022
45,0.8901,0.8242,0.7582,0.9176,0.7802
46,0.8022,0.7637,0.8077,0.8571,0.7692
47,0.8132,0.7143,0.7582,0.8022,0.7582
48,0.8242,0.7363,0.7582,0.8242,0.8132
49,0.8242,0.7692,0.7692,0.8571,0.7967
50,0.7802,0.7088,0.7747,0.8516,0.7802
51,0.8022,0.8022,0.8242,0.8462,0.8132
52,0.8187,0.7582,0.7692,0.8132,0.8297
53,0.8901,0.7857,0.8352,0.8516,0.8462
54,0.8242,0.8132,0.7802,0.8681,0.8681
55,0.8352,0.7802,0.7967,0.8297,0.7582
56,0.8352,0.7747,0.8297,0.8516,0.7857
57,0.7802,0.8242,0.8516,0.8571,0.8462
58,0.8462,0.8022,0.8681,0.8571,0.8132
59,0.7912,0.8462,0.8462,0.7967,0.8462
60,0.8132,0.8132,0.8516,0.8297,0.8077
61,0.8187,0.8681,0.8571,0.9011,0.7857
62,0.8462,0.8352,0.8407,0.8681,0.8407
63,0.8462,0.8352,0.8132,0.8791,0.8352
64,0.8352,0.8297,0.8352,0.8791,0.8242
65,0.8791,0.8462,0.8681,0.8791,0.7857
66,0.8571,0.8352,0.8791,0.9011,0.8571
67,0.8681,0.7967,0.8571,0.9286,0.9011
68,0.8242,0.7912,0.8022,0.8571,0.8022
69,0.8462,0.8297,0.8901,0.8352,0.8242
70,0.8626,0.8736,0.8297,0.9011,0.8352
71,0.8681,0.8516,0.7747,0.7747,0.8846
72,0.8352,0.8407,0.8022,0.8681,0.8297
73,0.8791,0.8462,0.8352,0.9011,0.8352
74,0.9121,0.8352,0.8462,0.8516,0.8681
75,0.8791,0.8626,0.8132,0.8462,0.8681
76,0.8846,0.8187,0.8681,0.8571,0.8791
77,0.8352,0.8132,0.8352,0.8352,0.8791
78,0.8132,0.8681,0.8791,0.9011,0.7582
79,0.7802,0.8681,0.8132,0.9176,0.8242
80,0.8681,0.8242,0.8462,0.8791,0.8297
81,0.8462,0.8132,0.8681,0.9341,0.8242
82,0.8571,0.8681,0.8242,0.8901,0.9011
83,0.8571,0.8516,0.8681,0.8571,0.8956
84,0.8077,0.8297,0.9011,0.9560,0.8791
85,0.8681,0.8681,0.8187,0.9066,0.8626
86,0.8791,0.8626,0.8791,0.8791,0.8297
87,0.8791,0.9121,0.9011,0.8681,0.9011
88,0.8681,0.8462,0.8681,0.8901,0.8681
89,0.9011,0.8901,0.9121,0.8901,0.8132
90,0.8681,0.8516,0.8846,0.9066,0.9176
91,0.8956,0.8846,0.8901,0.9121,0.8901
92,0.9121,0.8901,0.8681,0.8901,0.8901
93,0.9011,0.8681,0.8681,0.8681,0.8462
94,0.8901,0.9176,0.8791,0.9121,0.9231
95,0.8791,0.9231,0.8681,0.9341,0.9286
96,0.8681,0.8626,0.8297,0.8791,0.8681
97,0.8571,0.9231,0.9011,0.9066,0.8901
98,0.9011,0.8791,0.8681,0.8791,0.8901
99,0.8791,0.9341,0.8681,0.9011,0.8901
100,0.8571,0.8846,0.8077,0.9121,0.8791
